"","Headline","Description","Date"
"529","UK lawmakers might vote on Brexit alternatives on Weds - Corbyn","The leader of Britain's opposition Labour Party said votes on alternative Brexit plans to Prime Minister Theresa May's deal could be held in parliament on Wednesday, and there was support for other proposals.","2019-03-22"
"530","French President Macron says Europe must not remain hostage to Brexit","French President Emmanuel Macron said Europe must not remain a hostage to the ongoing Brexit process, as British Prime Minister Theresa May struggles to persuade a deeply divided parliament to back her Brexit deal after an EU summit granted her more time.","2019-03-22"
"531","France talks tough on no-deal Brexit deadline, at odds with others","France said on Friday that Britain would crash out of the European Union on April 12 if it fails to ratify the Brexit withdrawal agreement and present a new plan, putting it at odds with other member states which adopted a softer stance.","2019-03-22"
"532","Brexit fatigue, Ireland's Varadkar says hopes Brexit deal will pass UK parliament","Irish Prime Minister Leo Varadkar said on Friday he hoped British Prime Minister Theresa May will get her deal to leave the European Union through parliament, adding that both sides have Brexit fatigue.","2019-03-22"
"533","May determined to deliver Brexit deal, no date yet for new vote - spokesman","British Prime Minister Theresa May is determined to deliver on her Brexit deal and end uncertainty, her spokesman said on Friday, although he could not confirm when lawmakers would be given a vote to approve that agreement.","2019-03-22"
"534","If Britain rejects deal again, hard Brexit looms closer - Austria's Kurz","Austria's Chancellor Sebastian Kurz said on Friday he hoped the withdrawal agreement negotiated between Britain and the remaining European Union states would now pass the British parliament after EU leaders granted Britain extra time.","2019-03-22"
"535","The Brexit ending: deal, no deal, or no divorce?","Just days before the United Kingdom was due to leave the European Union, the March 29 cliff edge was moved by two weeks to April 12 but it is still uncertain how, when or if Brexit will happen.","2019-03-22"
"536","Franklin Templeton's Zahn says 30 percent probability of no-deal Brexit, may rise further","There is a 30 percent chance of Britain crashing out of the European Union without a divorce deal in place, Franklin Templeton's head of European fixed income, David Zahn, said on Friday.","2019-03-22"
"537","Best Brexit outcome would be remain vote in a new referendum - Luxembourg PM","Luxembourg Prime Minister Xavier Bettel put the chances of Britain's parliament passing the withdrawal deal at 50-50 and said the best possible Brexit outcome would be a new referendum and a vote to stay in the European Union.","2019-03-22"
"538","May gets two-week Brexit reprieve from impatient EU","European Union leaders have given Prime Minister Theresa May two weeks' reprieve, until April 12, before Britain could lurch out of the EU if she fails to persuade MPs to back the withdrawal treaty she concluded with Brussels.","2019-03-22"
"539","Brexit agreement is the right one - Belgium's Michel","Belgian Prime Minister Charles Michel said the deal reached by European leaders in the early hours of Friday morning to grant Britain a conditional Brexit delay was the right one and gave clarity.","2019-03-22"
"540","Brexit deal 'very, very unlikely' to pass - Conservative eurosceptic","British Prime Minister Theresa May is ""very, very unlikely"" to win support in parliament for the Brexit divorce deal she agreed with the European Union, a eurosceptic member of her minority government said on Friday.","2019-03-22"
"541","Brexit delay gives economy a moment to breathe, nothing more - Germany's DIHK","The reprieve the European Union had given Britain for the deadline of its departure from the EU gives the economy a moment to breathe, but nothing more, the head of Germany's chambers of commerce DIHK said on Friday.","2019-03-22"
"542","Goldman Sachs raises chances of no-deal Brexit after PM's late reprieve","Goldman Sachs on Friday lowered its expectations of UK Prime Minister Theresa May's Brexit deal getting ratified, and hiked its estimate of the chances of a ""no-deal"" exit from the European Union.","2019-03-22"
"543","Five percent? EU leaders doubt May's Brexit vote chances","After British Prime Minister Theresa May reassured them she could win a crunch vote in parliament next week to ensure an orderly Brexit, EU leaders were left even more doubtful of her chances.","2019-03-22"
"544","End the Brexit ambiguity, Macron tells Britain","The European Union has made clear its options for delaying Brexit and now it is time for Britain to lift all ambiguities surrounding its position, French President Emmanuel Macron said on Friday.","2019-03-21"
"545","May welcomes Brexit delay, says parliament now has clear choice","Prime Minister Theresa May on Friday welcomed the European Union's decision to delay Brexit, saying that MPs in the British parliament now had clear choices about what to do next.","2019-03-21"
"546","EU's Tusk says all Brexit options still open until April 12","European Council President Donald Tusk said on Thursday all Brexit options were still open for Britain until April 12 after a summit of EU leaders agreed on Prime Minister Theresa May's request to delay the leave date from March 29.","2019-03-21"
"547","Text of EU summit agreement on Brexit","1. The European Council takes note of the letter of Prime Minister Theresa May of 20 March 2019.","2019-03-21"
"548","EU summit talks on Brexit finished, official says","Thursday's European Union summit talks on Brexit have ended, an official said.","2019-03-21"
"549","EU to offer Brexit delay, length depends on UK parliament - draft","The European Union will grant Britain an extension to its Brexit negotiating period, but the length of the delay will depend on whether Prime Minister Theresa May is able to win a vote in parliament on an exit agreement next week, draft summit conclusions said.","2019-03-21"
"550","EU looks at two-stage approach to Brexit delay - diplomats","European Union leaders were considering an offer of a two-stage Brexit delay on Thursday, depending on whether Prime Minister Theresa May gets her divorce deal approved by the British parliament next week, diplomatic sources said.","2019-03-21"
"551","EU considers options for Brexit delay - May 7, year-end or open-ended, diplomats say","European Union leaders were considering different options on delaying Brexit on Thursday, possibly until May 7, the end of the year or even leaving the date open for now, diplomatic sources said.","2019-03-21"
"552","Stop Brexit - A million people sign UK petition to stay in EU","More than one million people have rushed to sign a petition on the British parliament's website calling for the government to revoke its divorce notice to the European Union and remain in the bloc.","2019-03-21"
"553","EU offers Brexit delay until May 22 - draft statement","The European Union will agree to hand Britain a Brexit delay until May 22 if its parliament approves the divorce agreement next week, according to draft conclusions considered by the other 27 national leaders on Thursday.","2019-03-21"
"554","May to give news conference in Brussels later - PM's office","Prime Minister Theresa May will hold a news conference in Brussels later on Thursday, her office said, without giving a specific time.","2019-03-21"
"555","UK watchdog leaves options open after Brexit trading spat with EU","British and European Union market regulators should look beyond public sparring this week over share trading to the ""bigger picture"" of future relations after Brexit, a senior British regulator said on Thursday.","2019-03-21"
"556","Deutsche Bank hikes no-deal Brexit probability","Deutsche Bank on Thursday hiked its expectation of a no-deal Brexit to 20 percent - the highest level ever - from 10 percent as the third attempt to get UK parliamentary approval for the nation's exit from the European Union looms.","2019-03-21"
"557","May's ""reckless"" Brexit message angers the lawmakers she needs to win over","If British Prime Minister Theresa May hoped a televised address late on Wednesday would help persuade wavering lawmakers to support her Brexit deal, it appears to have backfired, instead alienating the very people she needs to win over.","2019-03-21"
"558","Britain headed towards no-deal if parliament votes down Brexit deal: Macron","Britain is headed towards a no-deal Brexit scenario if its parliament votes against Prime Minister Theresa May's withdrawal agreement for a third time next week, French President Emmanuel Macron said on Thursday.","2019-03-21"
"559","We'll fight for a Brexit deal, but prepare for failure - Merkel","The European Union must do everything possible to ensure that Britain leaves the bloc in an orderly fashion, German Chancellor Angela Merkel said ahead of a European Council summit that is set to be dominated by Brexit.","2019-03-21"
"560","May's Brexit deal now less likely, election more likely - JP Morgan","JP Morgan said it no longer thought the single most likely outcome for Brexit would be Prime Minister Theresa May getting approval in parliament for her deal in the first half of 2019, and a new national election was now more likely.","2019-03-21"
"561","May could back no-deal if she loses third Brexit vote - Sky citing cabinet source","British Prime Minister Theresa May could back leaving the European Union without a deal over a longer delay if she loses a third parliamentary vote on her Brexit plan next week, a cabinet source has told Sky News.","2019-03-21"
"562","Top bankers back London as financial hub whatever Brexit outcome","London will be central to global financial markets whatever shape Britain's exit deal from the European Union (EU) takes, senior players in British banking said on Thursday.","2019-03-21"
"563","No-deal Brexit would hurt EU significantly - Barclays","A no-deal Brexit would significantly harm the European Union and a deal on financial services between Britain and the EU is likely whatever form Brexit takes, Barclays Chairman John McFarlane said on Thursday.","2019-03-21"
"564","Britain extends Northern Ireland talks, but no resolution seen","Britain sought to extend by five months the period for allowing a new devolved government to be formed in Northern Ireland, but parties in the province saw little hope a two-year deadlock would be broken.","2019-03-21"
"565","Corbyn says he will try to renegotiate Brexit deal","British Labour opposition leader Jeremy Corbyn said after meeting the EU's Brexit negotiator that he will push ahead with Brexit and seek to renegotiate the terms of the divorce deal.","2019-03-21"
"566","May says short Brexit delay will give Britain time to make final choice","British Prime Minister Theresa May said on Thursday a short delay to Britain's departure from the European Union would give parliament time to make a final choice on Brexit, hours before she will make her case with EU leaders for an extension.","2019-03-21"
"567","Merkel lends support to Tusk's offer of short Brexit delay","German Chancellor Angela Merkel expressed readiness on Thursday to back a short extension to Britain's planned exit from the European Union, suggesting that the June 30 date requested by Prime Minister Theresa May was problematic.","2019-03-21"
"568","Cut Britain some slack, but no rolling extension says Ireland's Varadkar","European Union leaders must show flexibility on Britain's Brexit plans given the ""chaos"" currently reigning in London, Irish Prime Minister Leo Varadkar said, adding that Britain would have to give a valid reason for the time extension it was seeking.","2019-03-21"
"569","May has a 'good shot' of getting Brexit deal approved next week, UK junior minister","Prime Minister Theresa May has a good chance of getting her twice-defeated Brexit deal approved by parliament next week, a junior Brexit minister in her government said on Thursday.","2019-03-21"
"570","Britain says EU could hold emergency summit to offer conditional Brexit extension","The European Union could next week hold an emergency summit to offer a Brexit extension with potentially onerous conditions such as holding another referendum, British Foreign Secretary Jeremy Hunt said on Thursday.","2019-03-21"
"571","Let the British parliament find a softer Brexit option, MP tells May","The British parliament should be given the opportunity to find an alternative way to leave the European Union and MPs would support a Norway-style post-Brexit relationship, Conservative lawmaker Oliver Letwin said on Thursday.","2019-03-21"
"572","Labour's Corbyn to discuss 'alternative' Brexit plan with EU leaders","British Labour leader Jeremy Corbyn will travel to Brussels on Thursday to discuss an ""alternative"" Brexit plan with European Union (EU) leaders, including the bloc's chief negotiator Michel Barnier, his party said in a statement.","2019-03-21"
"573","EPP's Weber: I can't imagine Brexit extension until June","Extending Britain's departure from the European Union until June is not a good idea as it would have to participate in the European Parliament election, Manfred Weber, the centre-right's lead candidate in the vote, said on Thursday.","2019-03-21"
"574","German foreign minister open to one last push for orderly Brexit","Delaying Britain's departure from the European Union is justifiable if there is a real chance of securing an orderly Brexit, German Foreign Minister Heiko Maas told Germany's Funke media group.","2019-03-21"
"575","May urges parliament to back her on Brexit, tells Britons 'I'm on your side'","Prime Minister Theresa May made an impassioned appeal to MPs to support her on Wednesday after the European Union said it could only grant her request to delay Brexit for three months if parliament next week backed her plans for leaving.","2019-03-20"
"576","May urges MPs to back her Brexit deal now","Prime Minister Theresa May said on Wednesday she deeply regretted her decision to seek a Brexit extension from the European Union and she urged MPs, who have twice previously rejected her plan, to back her now.","2019-03-20"
"577","Tusk invites EU leaders to agree short, conditional Brexit delay","European Council President Donald Tusk said on Wednesday he believed the EU should endorse a short delay of Brexit beyond March 29 if Britain's parliament ratifies the stalled divorce agreement next week.","2019-03-20"
"578","EU leaders should cut UK some slack on Brexit extension - Irish PM","European Union leaders should cut Prime Minister Theresa May some slack over her request to delay Brexit, Irish Prime Minister Leo Varadkar said on Wednesday.","2019-03-20"
"579","Next Brexit defeat could mean election, May could say - Channel 4","Prime Minister Theresa May could indicate in a statement later that another defeat for her Brexit deal could mean a general election, Channel 4's political editor Gary Gibbon said on Wednesday.","2019-03-20"
"580","EU's Tusk sees short Brexit delay if UK backs divorce deal","European Council President Donald Tusk said on Wednesday that granting Britain a short postponement of Brexit was possible on condition that Britain's parliament votes in favour of the stalled divorce agreement next week.","2019-03-20"
"581","Brexit minister: Parliament will debate EU exit plans on Monday","Parliament will have the chance to discuss a motion on Brexit on Monday, Brexit minister Stephen Barclay said, confirming government plans to set out a process for parliament to find a way forward on Britain's departure from the European Union.","2019-03-20"
"582","Brexit delay request will be rejected if no guarantees of deal success - France","Britain's request for a delay to Brexit will be rejected by the EU if Prime Minister Theresa May cannot provide sufficient guarantees that her parliament will approve the divorce deal she negotiated, France's foreign minister said on Wednesday.","2019-03-20"
"583","UK parliament to hold emergency debate on Brexit on Wednesday","Britain's parliament will hold an emergency debate on Wednesday on Prime Minister Theresa May's decision to request a three-month delay to Brexit, the speaker John Bercow said.","2019-03-20"
"584","Rumours of UK PM May speech on Wednesday - newspaper political editor","There are unconfirmed rumours Prime Minister Theresa May will give a speech outside her Downing Street residence on Wednesday evening, the political editor of the Independent newspaper said on Twitter.","2019-03-20"
"585","Brexit delay until European elections no legal problem, says Germany","Delaying Britain's departure from the European Union until European elections in late May would not be legally problematic, a senior German official said on Wednesday, a day before EU leaders meet to discuss a possible extension.","2019-03-20"
"586","Labour will press its Brexit plan, open to compromise - spokesman","Britain's opposition Labour Party will continue seeking talks on its alternative Brexit plan and believes a proposed three-month delay to the country's EU exit would be long enough to agree a new deal, a party spokesman said on Wednesday.","2019-03-20"
"587","Asked if long Brexit delay would make May resign, spokesman says way forward is clear","British Prime Minister Theresa May has sent a clear signal about what she believes is the correct way ahead on Brexit, her political spokesman said when asked if she could resign if the country's EU exit is delayed for longer than she wishes.","2019-03-20"
"588","Berlin welcomes PM's clear request for Brexit extension","The German government welcomes British Prime Minister Theresa May's clear request for a three-month extension of the Brexit deadline beyond March 29, a spokesman said in Berlin on Wednesday.","2019-03-20"
"589","Brexit delay doesn't rule out no-deal EU exit - May","Prime Minister Theresa May said on Wednesday that delaying Brexit by extending negotiations did not rule out the possibility that Britain could leave the European Union without a deal.","2019-03-20"
"590","May seeks delay to Brexit to June 30  - letter","British Prime Minister Theresa May on Wednesday asked the European Union to delay Brexit until June 30.","2019-03-20"
"591","EU's Juncker warned PM May against Brexit extension beyond European elections","European Commission President Jean-Claude Juncker warned British Prime Minister Theresa May against requesting a Brexit delay beyond European Parliament elections due on May 24-26, unless the United Kingdom takes part, an EU spokeswoman said.","2019-03-20"
"592","May: I am opposed to long Brexit extension, it is time to move on","British Prime Minister Theresa May said on Wednesday she was opposed to a long extension to the country's negotiations on leaving the European Union, saying it was time to move the national debate on to other subjects.","2019-03-20"
"593","EU Commission resists May's June 30 Brexit date - document","The European Commission opposes extending British membership of the European Union to June 30 as British Prime Minister Theresa May proposed on Wednesday, according to an EU document seen by Reuters.","2019-03-20"
"594","UK Labour leader Corbyn heads to Brussels on Thursday for Brexit meetings","British Labour leader Jeremy Corbyn said on Wednesday he would travel to Brussels to meet EU leaders and officials on Thursday, the day when Prime Minister Theresa May is seeking approval for her request for a delay to Brexit.","2019-03-20"
"595","EU's Tusk received Brexit delay letter from PM May - official","European Council President Donald Tusk received a formal letter from British Prime Minister Theresa May requesting a delay to Brexit, an EU official told Reuters.","2019-03-20"
"596","Labour to request emergency debate in parliament on Brexit delay","Britain's opposition Labour Party Brexit spokesman Keir Starmer will request an emergency debate in parliament on the length and purpose of any extension to the Article 50 Brexit negotiation period, the party said on Twitter.","2019-03-20"
"597","Decision on UK participation in EU elections due by mid-April - EU official","A decision on whether Britain should participate in the European Parliament election needs to be taken by mid-April, an EU official said on Wednesday, as British Prime Minister Theresa May is expected to ask the EU for a short delay to Brexit.","2019-03-20"
"598","The EU needs clarity from Britain regarding Brexit - Danish PM","The European Union needs clarity from Britain regarding the country's departure from the union, Denmark's prime minister said on Wednesday.","2019-03-20"
"599","Trillion pounds of assets leave London ahead of Brexit - EY","Assets worth around a trillion pounds are moving from London to hubs in the European Union ahead of Brexit, with the parallel shift in jobs likely to top 7,000, consultants EY said on Wednesday.","2019-03-20"
"600","UK Labour lawmaker requests emergency debate on Brexit","An opposition Labour lawmaker requested on Wednesday an emergency debate in parliament on Brexit, seeking to challenge Prime Minister Theresa May's pursuit of a short delay to Britain's departure from the European Union, her office said.","2019-03-20"
"601","Labour: We will support fresh Brexit debate if May does not make statement","Britain's opposition Labour Party said they would support all steps to force a debate in parliament on Brexit if Prime Minister Theresa May does not make a statement on the subject, a party spokesman said on Wednesday.","2019-03-20"
"602","Austria expects short Brexit extension, would support it","Austria expects there to be a short postponement of the date on which Britain will leave the European Union and would support it if London asked for one, Chancellor Sebastian Kurz said on Wednesday.","2019-03-20"
"603","May must tell EU about any Brexit delay plan Thursday at the latest - official","British Prime Minister Theresa May must inform the other 27 EU national leaders of any plans to delay Brexit on Thursday at the latest, a senior EU official said on Wednesday.","2019-03-20"
"604","Long Brexit delay would need parliamentary approval, UK's Leadsom says","British Prime Minister Theresa May would have to put a long delay to Brexit to parliament if that is what the European Union offer in talks this week, the leader of House of Commons Andrea Leadsom said on Wednesday.","2019-03-20"
"605","Leadsom says Brexit 'absolutely essential' before EU parliament election","Britain will seek a short delay to its departure from the European Union, due on March 29, and wants to be out before European Parliament elections are due to be held in late May, parliamentary leader Andrea Leadsom said on Wednesday.","2019-03-20"
"606","Former Conservative leader warns PM May that Brexit delay would cause problems","A delay to Brexit creates problems and can only be justified if British Prime Minister Theresa May can change her withdrawal deal, former Conservative party leader Iain Duncan Smith said on Wednesday.","2019-03-20"
"607","Czech PM: we are ready to support delay of Brexit","The Czech Republic may support a delay to the date of Brexit at the upcoming European Council meeting, Prime Minister Andrej Babis said on Wednesday.","2019-03-20"
"608","EU can not budge any more on Brexit, says Juncker before summit","The European Union has done a lot to accommodate Britain over Brexit and can go no further, European Commission head Jean-Claude Juncker said on Wednesday, as he played down hopes of a breakthrough at this week's EU summit.","2019-03-20"
"609","Long Brexit delay won't solve uncertainty, UK education minister says","A long delay to Britain's departure date from the European Union would not provide certainty, Education Secretary Damian Hinds said on Wednesday.","2019-03-20"
"610","May will not request long delay to Brexit - Downing Street source","British Prime Minister Theresa May will not request a long delay to Brexit and there is a case for giving parliament a little more time to agree a way forward, a Downing Street source said on Wednesday.","2019-03-20"
"611","'Interventionist' speaker centre-stage in parliament's Brexit drama","With a wordy speech invoking a 17th-century precedent, and a cold stare aimed at stunned ministers, the grandiose Speaker of Britain's parliament cast Prime Minister Theresa May's Brexit strategy into chaos.","2019-03-20"
"612","May's letter to EU on Brexit extension to be sent Wednesday - BBC","Prime Minister Theresa May on Wednesday will send a letter to European Council President Donald Tusk seeking an extension of her country's departure from the European Union beyond a March 29 deadline, BBC News' political editor reported in a tweet late on Tuesday.","2019-03-19"
"613","Trump adviser Bolton says British establishment failing on Brexit","U.S. National Security Adviser John Bolton accused Britain's political establishment on Tuesday of failing to implement the result of the 2016 referendum to leave the European Union.","2019-03-19"
"614","EU, UK market watchdogs clash over no-deal Brexit share trading","The European Union's markets watchdog published guidance on Tuesday identifying which shares investors in the bloc could no longer trade in London if there is a hard Brexit next week.","2019-03-19"
"615","May seeks Brexit delay after third vote on her deal is derailed","Prime Minister Theresa May will ask the European Union to delay Brexit by at least three months after her plan to hold a third vote on her fraught divorce deal was thrown into disarray by a surprise intervention from the speaker of parliament.","2019-03-19"
"616","EU's Barnier warns costs of long Brexit delay must be worth it","Any long Brexit delay would pile on economic and political costs for the European Union, the bloc's chief negotiator Michel Barnier said on Tuesday, stressing that these would need to be weighed up carefully against potential benefits.","2019-03-19"
"617","France ready to veto any meaningless Brexit delay: Elysee official","France is ready to veto any British request for a Brexit delay that either kicks the can down the road without offering a way out of its deadlock or imperils European Union institutions, an official in President Emmanuel Macron's office said on Tuesday.","2019-03-19"
"618","Labour's Corbyn holds talks with MPs who support softer Brexit","Jeremy Corbyn, leader of the Labour Party, held cross-party talks with four MPs who support a close economic relationship with the European Union and they pledged to work together to break the Brexit impasse, a Labour spokesman said on Tuesday.","2019-03-19"
"619","Britain must have plan to push through deal to get Brexit extension - Coveney","Britain must present a detailed plan how to push the agreement on its withdrawal from the European Union through parliament to get the EU's approval for an extension of the March 29th membership deadline, Irish foreign minister Simon Coveney said.","2019-03-19"
"620","DUP's Dodds says Brexit talks good but deal not close - BBC reporter","Northern Ireland's Democratic Unionist Party has had good discussions with the British government, a BBC journalist quoted the party's deputy leader as saying on Tuesday, as Prime Minister Theresa May seeks its support for her Brexit divorce agreement.","2019-03-19"
"621","Factbox: What does the speaker of Britain's parliament do, and who is John Bercow?","The speaker of Britain's House of Commons threw Prime Minister Theresa May's Brexit plans into further turmoil this week by ruling that she could not put her divorce deal to a new vote unless it was resubmitted in fundamentally different form.","2019-03-19"
"622","Northern Irish DUP may not back UK PM's Brexit deal - HuffPost","The Northern Irish party that is crucial to Prime Minister Theresa May's hopes of getting her twice-defeated Brexit deal through parliament is unlikely to support it in a third vote unless it is convinced her deal can pass, HuffPost reported.","2019-03-19"
"623","UK lawmakers will debate ways to break Brexit impasse from Monday - PM's spokesman","British lawmakers will from Monday be able to debate ways to break an impasse over Brexit in parliament, Prime Minister Theresa May's spokesman said on Tuesday, repeating a promise made last week.","2019-03-19"
"624","Labour's Corbyn calls on UK opposition parties to work on Brexit plan","Jeremy Corbyn, leader of Britain's main opposition Labour Party, called on other opposition leaders on Tuesday to work towards finding a majority in parliament for ""a close economic relationship"" with the European Union after Brexit.","2019-03-19"
"625","EU impatient with Brexit, but resigned to delay","European Union governments are exasperated by British dithering over quitting the bloc but have little appetite for pushing it out on schedule next week without a divorce deal, senior figures said on Tuesday.","2019-03-19"
"626","Protesters in yellow vests invade UK Attorney General's office","Protesters wearing yellow vests invaded the office of Britain's Attorney General in central London on Tuesday.","2019-03-19"
"627","In Brexit chaos, UK eurosceptics see dream ticket - new leader, new deal","In a week when Brexit was plunged into deeper uncertainty, eurosceptics in Theresa May's Conservative Party are eyeing their dream scenario - a new prime minister and a new deal to leave the European Union.","2019-03-19"
"628","Tusk assures Ireland of EU unity on Brexit","European Council President Donald Tusk said he told Irish Prime Minister Leo Varadkar in Dublin on Tuesday that the European Union was united on Brexit and preparing if need be for Britain leaving the EU without a deal.","2019-03-19"
"629","May seeking Brexit delay to June 30 with option of two-year extension - BBC","British Prime Minister Theresa May will write to the European Union on Tuesday to ask for a Brexit extension until the end of June and with a possible two-year delay, the BBC's political editor said.","2019-03-19"
"630","Britain could ask for longer Brexit delay, still hope to leave EU earlier - source","Britain could theoretically ask for a longer extension to its Brexit negotiations and try to leave the European Union before the new end date is reached, a UK government source said on Monday.","2019-03-19"
"631","May to write to EU's Tusk on Brexit extension Tuesday or Wednesday - spokesman","British Prime Minister Theresa May will write to European Council President Donald Tusk to request a delay to Brexit either on Tuesday or Wednesday, her spokesman said.","2019-03-19"
"632","EU expects swift info from Britain on next steps in Brexit","The European Union expects swift information from Britain on how it wishes to proceed in its exit form the EU, a spokesman for the EU executive said on Tuesday, noting EU leaders meet on Thursday to discuss Britain's withdrawal.","2019-03-19"
"633","Germany's Merkel ready to fight to last minute for orderly Brexit","German Chancellor Angela Merkel said on Tuesday she would fight for an orderly Brexit right up until Britain's planned departure from the European Union on March 29.","2019-03-19"
"634","How does the Brexit maelstrom end: Deal, no deal or no Brexit?","The United Kingdom's exit from the European Union is uncertain nearly three years after the 2016 Brexit vote.","2019-03-19"
"635","May's Brexit deal in chaos as Speaker sparks 'constitutional crisis'","Prime Minister Theresa May's Brexit plans were thrown into further turmoil on Monday when the speaker of parliament ruled that she could not put her divorce deal to a new vote unless it was re-submitted in fundamentally different form.","2019-03-19"
"636","Stop testing our patience, 'exhausted' German minister tells Brexit Britain","Germany's Europe Minister urged London to come up ""at last"" with concrete proposals on how it wants to proceed with leaving the European Union after a ruling by the speaker of Britain's Parliament upturned the government's Brexit strategy.","2019-03-19"
"637","French EU minister says London must break Brexit impasse","Britain must come up with a reason for any Brexit delay and a no-deal divorce may well happen, French EU affairs minister Nathalie Loiseau said on Tuesday.","2019-03-19"
"638","EU leaders unlikely to grant Brexit delay this week - ITV political editor","European Union leaders are unlikely this week to grant an extension to Britain's departure date from the bloc, ITV political editor Robert Peston said on Tuesday.","2019-03-19"
"639","Sweden wants to be constructive on Brexit, awaits news from London","The European Union needs to hear from Britain on what it wants on Brexit before being able to decide its next steps, Swedish European Affairs Minister Hans Dahlgren said on Tuesday.","2019-03-19"
"640","UK faces no-deal or no Brexit if it rejects May's deal - Barclay","Britain's Brexit Secretary Steve Barclay warned lawmakers on Tuesday they risked either destroying Brexit or leaving the European Union without a deal if they did not back Prime Minister Theresa May's twice-defeated deal.","2019-03-19"
"641","EU needs clarity from London on Brexit - Romanian minister","The European Union needs clarity from London on Brexit, a Romanian minister said in Brussels on Tuesday before chairing talks among his European peers, a day after British Prime Minister Theresa May's divorce plan was undermined further.","2019-03-19"
"642","Brexit hits ability of UK fintech to lure top talent - report","Leaving the European Union is making it harder for fintech firms in Britain to recruit top talent, a report said on Tuesday, threatening to slam the brakes on a 7 billion pound growth sector just as EU states step up competition.","2019-03-19"
"643","Pro-Brexit Conservatives threaten strike if May delays EU exit by a year - the Sun","Eurosceptic Conservative MPs have threatened to go on strike if Prime Minister Theresa May delays Brexit by a year, the Sun newspaper reported on Monday.","2019-03-18"
"644","Conservatives demand May's departure date for passing Brexit deal - FT","Prime Minister Theresa May has been told by senior Conservative party colleagues that she will have to set a timetable for her departure date from Downing Street in return for passing her Brexit deal, the Financial Times reported on Monday.","2019-03-18"
"645","UK government notes parliament speaker's statement on Brexit vote - May's office","The British government is considering a statement by parliament's speaker on Monday that Prime Minister Theresa May could not put her Brexit deal to a new vote unless it was fundamentally changed, May's office said on Monday.","2019-03-18"
"646","UK reaches post-Brexit trade agreement with Iceland and Norway","Britain on Monday reached an a deal with Iceland and Norway to allow trade to continue unchanged if it leaves the European Union without a deal, trade secretary Liam Fox said.","2019-03-18"
"647","EU leaders could avoid final call on Brexit delay this week - diplomats","European Union leaders could hold off making any final decision on any Brexit delay when they meet in Brussels later this week, senior diplomats in the bloc said, depending on what exactly British Prime Minister Theresa May asks them for.","2019-03-18"
"648","Still a chance Brexit deal can be approved by parliament this week - Kwarteng","British junior Brexit minister Kwasi Kwarteng said on Monday he believed there was still a chance parliament would approve Prime Minister Theresa May's European Union exit deal this week.","2019-03-18"
"649","Brexit campaigner Matthew Elliott says May's deal will pass by March 29","MPs are likely to pass Prime Minister Theresa May's Brexit divorce deal by March 29, Matthew Elliott, the head of the 2016 campaign for leaving the European Union, said on Monday.","2019-03-18"
"650","UK will seek Brexit delay ahead of March EU summit - Kwarteng","Britain will request a delay to Brexit ahead of this week's European Council summit and expects a decision from the European Union to be reached at that meeting, junior Brexit minister Kwasi Kwarteng said on Monday.","2019-03-18"
"651","UK parliament speaker deals new blow to May's Brexit plan","British Prime Minister Theresa May suffered a fresh Brexit setback on Monday when the speaker of parliament said any proposal she puts to lawmakers must be substantially different to the ones previously rejected by them.","2019-03-18"
"652","UK parliament speaker says Brexit deal must be fundamentally different for third vote","The British government is likely to need to win changes to its Brexit deal with the European Union in order to be allowed to put it to a further vote in parliament, the House of Commons Speaker John Bercow said on Monday.","2019-03-18"
"653","UK parliament speaker did not forewarn government on statement - May's spokesman","Britain's parliamentary speaker did not forewarn the government about his statement, Prime Minister Theresa May's spokesman said on Monday after it was announced that May could not bring the same Brexit deal back for another vote.","2019-03-18"
"654","Tea, prayers and Brexit - church to promote unity at cafe-style meetings","British churchgoers will be encouraged to discuss Brexit over tea and prayers as the Church of England appeals for unity in the face of uncertainty and division over Britain's decision to leave the European Union.","2019-03-18"
"655","Timeline: The United Kingdom's tortuous journey in and out of the EU","The United Kingdom voted in 2016 to leave the European Union but it is still uncertain when or if that will happen.","2019-03-18"
"656","No deal between DUP and UK government on PM May's Brexit accord this week - ITV's Peston","There will be no deal agreed this week between the Democratic Unionist Party and the British government over whether it will support Prime Minister Theresa May's Brexit deal, ITV's political editor said on Monday.","2019-03-18"
"657","UK's parliamentary speaker to make a statement at 1530 GMT - office","The speaker of Britain's House of Commons, John Bercow, will make a statement to parliament at 1530 GMT, his office said on Monday.","2019-03-18"
"658","Brexit crisis tipped for British asparagus as EU seasonal workers stay away","For almost 100 years, Chris Chinn's family has farmed asparagus in the rolling hills of the Wye Valley in western England.","2019-03-18"
"659","EU fears Brexit paralysis, says UK foreign minister Hunt","European Union foreign ministers fear a Brexit paralysis and they want the issue resolved, British Foreign Secretary Jeremy Hunt said after a meeting with his EU counterparts on Monday.","2019-03-18"
"660","May could ditch Brexit negotiator Robbins to get her deal ratified - Evening Standard","British Prime Minister Theresa May could sacrifice her chief Brexit negotiator Olly Robbins in a last ditch attempt to get her divorce deal approved, the London Evening Standard newspaper reported on Monday, citing unidentified lawmakers.","2019-03-18"
"661","DUP leader has no plans right now to travel for Brexit talks","Democratic Unionist Party leader Arlene Foster has no plans at this stage to travel to London where her Northern Irish party are continuing Brexit talks with British Prime Minister Theresa May, a DUP spokesman said on Monday.","2019-03-18"
