"","Headline","Description","Date"
"327","UK construction industry grows at slowest pace in six months - PMI","Britain's construction sector grew at the slowest pace in six months in September and companies turned less confident as Brexit neared, a survey showed on Tuesday.","2018-10-02"
"328","UK consumers slow pace of borrowing growth to near three-year low","British consumers increased their borrowing at the slowest pace in nearly three years in August,  official data showed on Monday, raising questions about how much help they will provide to the economy as Brexit nears.","2018-10-01"
"329","UK factories perk up, big picture still lacklustre - PMI","British factories perked up unexpectedly in September, halting a three-month run of slowing growth even though the bigger picture stayed subdued six months ahead of Brexit, a survey showed on Monday.","2018-10-01"
"330","UK could change business rates to help high street - business minister","Business minister Greg Clark said on Sunday he could seek an adjustment to the tax system to help Britain's struggling high street retailers, which he said played an important role in communities.","2018-10-01"
"331","UK firms cut investment as Brexit nears, current account gap widens","British companies cut their investment in the second quarter of 2018, when Brexit was less than a year away, and the country's balance of payments shortfall grew more than expected, official data showed.","2018-09-28"
"332","UK consumers worry about onset of Brexit - GfK","British consumers lost some of their confidence in early September -- before Prime Minister Theresa May's latest setback on Brexit -- but companies were more upbeat, two surveys showed on Friday.","2018-09-28"
"333","Bank of England might cut or raise rates after no-deal Brexit - Haldane","Bank of England Chief Economist Andy Haldane said on Thursday that the central bank could decide to raise interest rates or to cut them if there was a disorderly, no-deal Brexit.","2018-09-27"
"334","Pay awards by UK firms pick up after brief lull - XpertHR","Average pay rises awarded by British employers grew more quickly in the three months to August after a short slowdown, according to a survey published on Thursday.","2018-09-27"
"335","UK car output falls 13 percent in August","British car production fell by an annual 12.9 percent in August, the third consecutive drop in a row, due to model changeovers and preparations for new, tougher emissions rules, a car industry body said on Thursday.","2018-09-27"
"336","UK retailers see only slight slowdown after strong summer - CBI","- British retail sales growth slowed in September after a booming summer but remained strong, a survey showed on Wednesday, adding to signs that Britain's consumers are not cutting back sharply on their spending as Brexit nears.","2018-09-26"
"337","UK shoppers turn to credit cards to fund summer spending - UK Finance","British consumers spent more on their credit cards in August as they borrowed to fund a summer shopping spree but companies are more nervous in the run-up to Brexit, lending industry data showed on Wednesday.","2018-09-26"
"338","Bank of England can unwind QE without hurting economy - Vlieghe","The Bank of England can reverse its huge bond-buying stimulus programme without sharply pushing up long-term interest rates and hurting the economy, as long it explains the plan properly and moves only gradually, a top BoE policymaker said on Tuesday.","2018-09-25"
"339","UK inflation expectations hit five-year high - Citi/Yougov","The British public's expectations for inflation have risen to their highest level in five years, a monthly YouGov survey for Citi showed on Tuesday.","2018-09-25"
"340","UK factory orders weaken in September as exports fade - CBI","British manufacturers' order books slipped in September, as export business weakened with little more than six months to go before Brexit, an industry survey showed on Monday.","2018-09-24"
"341","Budget deficit jumps in August, but little pressure on Hammond","Britain's budget deficit unexpectedly widened in August, driven by subdued tax receipts, a rise in the state pension and higher EU budget payments, but Chancellor Philip Hammond probably still has room to ease his grip on spending later this year.","2018-09-21"
"342","Support in UK for more tax and spending at 15-year high - survey","Support in Britain for increased levels of tax to fund more public spending has hit a 15-year high, according to a survey published on Friday, after nearly a decade of government efforts to cut its budget deficits.","2018-09-21"
"343","UK shoppers keep on spending as August retail sales smash forecasts","British shoppers kept up their strong summer spending spree in August and showed no sign that the approach of Brexit is making them cautious, official data showed on Thursday.","2018-09-20"
"344","Inflation unexpectedly leaps to six-month high in August","British inflation jumped unexpectedly to a six-month high in August, pushed up by bigger-than-usual seasonal increases in sea and air fares and briefly sending sterling above $1.32 for the first time since July.","2018-09-19"
"345","Bank of England's Haldane says firms' Brexit worries 'up sharply'","British businesses are more worried about Brexit uncertainty than was the case a few months ago, Bank of England chief economist Andy Haldane said on Wednesday.","2018-09-19"
"346","Rule out 'no deal' Brexit, UK car industry warns in Brussels","London and Brussels should rule out a 'no deal' Brexit, which could add at least 5.7 billion euros (£5.1 billion) in car tariffs and snarl up production, Britain's automotive industry body warned on Wednesday.","2018-09-19"
"347","Affordable housing to get 2 billion pounds boost in UK, May says","Britain's government will invest 2 billion pounds to address an affordable housing shortage, Prime Minister Theresa May will say on Wednesday.","2018-09-19"
"348","UK economy will shrink without Brexit deal, IMF warns","Britain's economy will shrink if it leaves the European Union without a Brexit deal and it will suffer some damage whatever terms it agrees, the International Monetary Fund said on Monday, challenging the promises of some Brexit supporters.","2018-09-17"
"349","UK must heed IMF's 'clear warnings' on no-deal Brexit - Hammond","Chancellor of the Exchequer Philip Hammond said on Monday that London had to listen to the ""clear warnings"" from the International Monetary Fund about the risks of a no-deal Brexit to Britain's economy.","2018-09-17"
"350","UK economy would contract without a Brexit deal - IMF's Lagarde","International Monetary Fund Managing Director Christine Lagarde said Britain's economy would contract if London and Brussels fail to strike a Brexit deal.","2018-09-17"
"351","UK consumer spending grows at fastest pace since January - Visa","British consumer spending grew over the three months to August at the fastest pace since January, chiming with other signs the economy has picked up some steam in mid-2018, a survey from payments firm Visa showed on Monday.","2018-09-17"
"352","UK consumers remain most upbeat since 2015 - IHS Markit","British households' confidence about their financial situation held at its highest since 2015 this month, as their concern about inflation eased and they were relaxed about prospects for the year to come, a survey showed on Monday.","2018-09-17"
"353","Brexit talks 'closing in on workable solutions', Raab says","British and European Union negotiators are ""closing in on workable solutions"" to the outstanding issues in Brexit talks, Britain's Brexit Secretary Dominic Raab said after a phone call with EU chief negotiator Michel Barnier.","2018-09-14"
"354","Carney warns of 'no-deal' Brexit house price crash - newspaper","Britain's property market would crash and mortgage rates spiral up in the event of a chaotic no-deal Brexit, with house prices falling 35 percent over three years, Bank of England Governor Mark Carney told ministers, The Times newspaper reported.","2018-09-14"
"355","Bank of England holds rates steady, sees more Brexit uncertainty","The Bank of England kept interest rates on hold on Thursday and highlighted greater financial market concerns about Brexit, a month after raising borrowing costs for only the second time in more than a decade.","2018-09-13"
"356","UK house prices steady, sales weakest in five months - RICS","House prices in London fell last month at the fastest pace since April but there were strong gains away from southern England, giving a broadly flat picture overall, the Royal Institution of Chartered Surveyors said on Thursday.","2018-09-13"
"357","Bank of England to keep rates steady after August rise","Britain's central bank looks set to keep interest rates on hold on Thursday, giving the economy time to digest August's increase in borrowing costs, which was only the second such move by the Bank of England in the decade since the financial crisis.","2018-09-13"
"358","China is ""one of the bigger risks"" to global economy - BoE's Carney","China's financial system poses one of the bigger risks to global financial stability, Bank of England Governor Mark Carney said in an interview with the BBC to mark the 10th anniversary of the global financial crisis.","2018-09-12"
"359","UK pay growth beats forecasts as hiring levels off","British workers' pay excluding bonuses picked up faster than expected during the three months to July to a rate that has not been beaten in three years, as businesses found it harder to hire staff, official figures showed on Tuesday.","2018-09-11"
"360","UK enjoys fastest growth in almost a year","Britain reeled off its fastest economic growth for nearly a year in the three months to July thanks to strong consumer spending lifted by the World Cup and unusually warm weather, official figures showed on Monday.","2018-09-10"
"361","UK economy on track for best quarter since late 2016 - NIESR","Britain's economy looks on track for its best quarter since late 2016, the National Institute of Economic and Social Research (NIESR) estimated on Monday.","2018-09-10"
"362","British shops endure worst August for three years - BDO survey","British shops suffered their worst August in three years, a survey showed on Friday, as inflationary pressures and a record heatwave drove consumers away and a shift to buying online continued.","2018-09-07"
"363","More Britons expect interest rates to rise over next year - BoE survey","The proportion of British people expecting interest rates to rise over the next 12 months increased in August, following the Bank of England's decision to raise rates at the start of the month, a BoE survey showed on Friday.","2018-09-07"
"364","UK annual house price growth picks up to nine-month high - Halifax","British house prices rose in the three months to August at their fastest annual rate since November last year, figures from major mortgage lender Halifax showed on Friday, bolstered by a gradual pick-up in wages and limited supply.","2018-09-07"
"365","UK employers hire staff at fastest pace in five months - REC","British employers hired permanent staff at the fastest rate in five months in August, a recruiters' body said on Friday, but it questioned how long this would continue in the face of  uncertainty about Brexit.","2018-09-07"
"366","UK economy holding up against Brexit jitters, for now - survey","Britain's economy is holding its solid pace of growth, according to a survey which showed the large services sector expanded more strongly than expected in August, but Brexit worries are hitting investment plans and confidence.","2018-09-05"
"367","UK new car sales jump as demand for electric vehicles soars","British new car registrations jumped by an annual 23.1 percent in August as demand for electric and alternatively fuelled vehicles soared by nearly 90 percent, a car industry body said on Wednesday.","2018-09-05"
"368","Carney says he is ready to stay longer at Bank of England","Bank of England Governor Mark Carney said on Tuesday he was ready to extend his time in charge of the central bank to help Britain's economy as it leaves the European Union.","2018-09-04"
"369","May's spokeswoman: Carney has done a good job as BOE governor","British Prime Minister Theresa May thinks Mark Carney has done a good job as governor of the Bank of England, her spokeswoman said on Tuesday, adding that there would be further announcements on the matter.","2018-09-04"
"370","UK construction activity slows in August, price pressures ease","British construction activity slowed in August after reaching a two-year high the month before, as builders worked their way through projects delayed by bad weather earlier in the year, industry data showed on Tuesday.","2018-09-04"
"371","UK retailers report lacklustre sales as shoppers head to the pub","British retailers reported sluggish sales growth last month as potential shoppers chose to make the most of this summer's record hot weather and spend money at the pub instead.","2018-09-04"
"372","UK factories feel pinch from global economy as export orders fall","British manufacturers had their weakest month in over two years and export orders suffered a rare decline in August, a warning that a world economic slowdown, as well as the approach of Brexit, is weighing on the country's factories, a survey showed.","2018-09-03"
"373","UK consumers defy Brexit blues, but companies fret - surveys","British consumers appear little fazed by the possibility of a no-deal Brexit, but businesses have turned more worried, surveys showed on Friday.","2018-08-31"
"374","UK house price rise slips back to five-year low - Nationwide","British house prices grew by a weaker than expected 2.0 percent in August, mortgage lender Nationwide said, slipping back to a level last seen in June when prices rose at their slowest in five years.","2018-08-31"
"375","UK consumer lending growth slows to weakest since November 2015 - BoE","British consumers increased their borrowing at the weakest pace in nearly three years last month, and foreign holdings of British government debt fell by a record amount, Bank of England data showed on Thursday.","2018-08-30"
"376","British car output drops annual 11 percent in July","British car production fell 11 percent year-on-year in July, hit by model changes, seasonal adjustments and preparations for tougher new emissions standards, an industry body said on Thursday.","2018-08-30"
"377","London house prices to fall this year and next, 1-in-3 chance of a crash - Reuters poll","House prices in London's overvalued market will fall this year and next, a Reuters poll of analysts and experts predicted, and will tumble if Britain fails to reach a deal ahead of its departure from the European Union.","2018-08-29"
"378","UK shop prices rise for first time in over five years - BRC","- British shop prices rose for the first time in more than five years in August but by less than broader measures of inflation as retailers continued to battle for consumers.","2018-08-29"
"379","UK professional services firms' mood lowest since November 2016 - CBI","British business and professional services firms are their most downbeat since November 2016 due to slowing sales growth and fast-rising costs, as well as uncertainty about the terms on which Britain will leave the European Union next year.","2018-08-29"
"380","UK mortgage approvals fall in July, credit growth slows - UK Finance","British banks approved fewer mortgages last month, despite a boost from existing home-owners seeking to lock in cheaper interest rates ahead of the Bank of England's rate rise in August, industry data showed on Friday.","2018-08-24"
"381","UK retailers report August sales boost, but outlook bleak - CBI","British retail sales growth picked up unexpectedly in August, but major store chains anticipate sharp falls in employment in the months ahead, a survey showed on Thursday.","2018-08-23"
"382","Pay awards across UK firms weaken for first time since 2016 - XpertHR","The average pay rise awarded by British employers weakened during the three months to July for the first time in nearly two years, according to a survey on Thursday that tallied with other recent signs of weak wage growth.","2018-08-23"
"383","UK year-ahead inflation expectations highest since December 2017 - Citi/YouGov","Rising oil prices have pushed up the British public's expectations for inflation over the coming year to their highest since December, a monthly YouGov survey for Citi showed on Wednesday.","2018-08-22"
"384","Scotland's budget gap falls, Sturgeon warns of Brexit danger","Scotland's large budget deficit shrank in the last financial year to its lowest since 2012 but remained far larger in percentage terms than that of the United Kingdom as a whole, Scottish government data showed on Wednesday.","2018-08-22"
"385","Retail slump drives UK services firms' first-quarter profitability to four-year low","Average profitability for businesses in Britain's dominant services sector fell to its lowest in more than four years in the first three months of 2018, dragged down by struggling retailers, official data showed on Wednesday.","2018-08-22"
"386","UK says aims to boost exports to 35 percent of GDP, gives no timeframe","Britain aims to boost exports to 35 percent of gross domestic product after leaving the European Union as it looks to increase trade ties with the rest of the world, its trade minister said on Tuesday, but he gave no timeframe for reaching the target.","2018-08-21"
"387","Britain can't afford to close door to EU banks after Brexit","Britain is expected to keep the door open for European Union banks and investors after Brexit to try to preserve London's global financial clout, irrespective of whether it gets a good trade deal from the bloc, bankers and industry officials say.","2018-08-21"
"388","UK budget surplus in July eases headache for Hammond","Britain reported its biggest budget surplus for the month of July in 18 years on Tuesday, giving finance minister Philip Hammond some extra room for manoeuvre as he faces pressure to relax his grip on spending later this year.","2018-08-21"
"389","UK factory orders gauge hits three-month low in August - CBI","Growth in British factory orders cooled slightly to a three-month low in August, although export business remained robust, a survey showed on Tuesday.","2018-08-21"
"390","UK households upbeat about their income, worried over Brexit","British households are the most upbeat about their finances since early 2015, buoyed by near-record employment, but the approach of Brexit and concerns about inflation are making them worry more about the future, a survey showed on Monday.","2018-08-20"
"391","Business leaders' confidence in UK economy at lowest so far this year - survey","Business leaders' confidence in the British economy has fallen to its lowest point this year reflecting the impact of  uncertainty over Britain's exit deal with the European Union, according to a survey published on Monday.","2018-08-20"
"392","UK retail sales grow faster in July, helped by World Cup and discounting","British shoppers spent more than expected in July, after hot weather and the World Cup continued to boost food sales and other retailers offered discounts, pointing to a solid start to the third quarter for the economy.","2018-08-16"
"393","UK inflation rises for first time in 2018, seen falling soon","Britain's inflation rate rose in July for the first time in 2018, keeping the squeeze on many households' budgets, but there were signs that the pick-up was a blip and inflation might fall faster than the Bank of England thinks.","2018-08-15"
"394","Table - UK CPI meets forecasts at +2.5 percent year-on-year","The Office for National Statistics released the following consumer price indices on Wednesday:","2018-08-15"
"395","Table - UK producer prices lose steam in July, but oil pushes up costs","The Office for National Statistics released the following data on British producer prices on Wednesday. Previously announced data in brackets:","2018-08-15"
"396","Pay for Britain's top bosses rises 23 percent","Pay packages for the bosses of Britain’s 100 biggest listed firms rose 23 percent over the past year, fuelled by payouts for the CEOs of house builder Persimmon  and industrial firm Melrose Industries , a survey showed on Wednesday.","2018-08-15"
"397","UK jobless rate falls to new 43-year-low, but pay growth weakens","Britain's unemployment rate fell to its lowest in over 43 years in the three months to June and fewer workers made do with insecure jobs, but there was little upside for most as pay growth slowed to its weakest in nine months.","2018-08-14"
"398","UK consumer spending dips in July, modest pay rises ahead","British consumer spending dipped last month and few employers plan to offer bigger pay rises, according to economic surveys on Monday that suggest future growth is likely to remain modest.","2018-08-13"
"399","UK economy on track to grow at fastest since fourth quarter 2016 - NIESR","Britain's economy looks on track to grow at its fastest rate since the tail end of 2016, according to an estimate from the National Institute of Economic and Social Research (NIESR) on Friday.","2018-08-10"
"400","UK economy warms up a touch, Brexit hurdles ahead","Britain's economy warmed up a little in the second quarter from its winter slowdown of early 2018, but there was no sign of an end to its stuttering performance ahead of Brexit next year.","2018-08-10"
"401","UK house prices inch up, buy-to-let investors exit market - RICS","British house prices edged up last month as widespread falls in London weighed on gains further north, while smaller landlords quit the rental sector due to less favourable tax treatment, a survey showed on Thursday.","2018-08-09"
"402","UK firms struggle to hire with Brexit, record low jobless rate","The number of people recruited for permanent jobs in Britain grew at its slowest pace in nine months in July, reflecting record low unemployment and a shortage of migrant workers from the European Union, a recruiters' body said on Wednesday.","2018-08-08"
"403","UK house prices jump in July by more than expected - Halifax","British house prices spiked in July, despite other signs of softness in the market, mortgage lender Halifax said on Tuesday.","2018-08-07"
"404","World Cup and heatwave help UK retailers in July","England's run to the semi-finals of the soccer World Cup and a scorching summer encouraged shoppers in Britain to spend more on food, drink and electric fans in July, but overall spending rose only slowly, according to a survey of retailers.","2018-08-07"
"405","Dimming UK services growth raises questions over BoE hike","Growth in British services companies slowed in July by more than expected, raising further questions about the Bank of England's decision to raise interest rates before Brexit, a survey showed on Friday.","2018-08-03"
"406","Bank of England raises rates above crisis lows, signals no rush for next hike","The Bank of England pushed interest rates above their financial crisis lows on Thursday, but signalled it was in no hurry to raise them further as Britain heads for Brexit next year with no clear plan for leaving the European Union.","2018-08-02"
"407","Bank of England's Carney speaks after raising interest rates","The Bank of England raised interest rates on Thursday to 0.75 percent, their highest level since the financial crisis.","2018-08-02"
"408","BoE's Carney says one rate rise a year a good rule of thumb - BBC","Financial market expectations of one Bank of England interest rate rise a year for the next few years are a good rule of thumb, BoE Governor Mark Carney told the BBC after the central bank raised interest rates on Thursday.","2018-08-02"
"409","Pound extends losses on Carney comments, dollar strength","The pound extended losses on Thursday after the Bank of England raised interest rates from crisis era lows but was cautious about any further tightening with an uncertain Brexit on the horizon.","2018-08-02"
"410","BoE's Carney - rates could end up higher in many Brexit outcomes","Bank of England Governor Mark Carney said on Thursday there were many ways that the eventual outcome of Britain's divorce with the European Union could result in higher interest rates.","2018-08-02"
"411","BoE's Carney - policy needs to walk, not run","The Bank of England's approach to policy should be to ""walk - not run"", Governor Mark Carney said on Thursday after the central bank raised rates to a new post-financial crisis high of 0.75 percent.","2018-08-02"
"412","UK construction expands at fastest rate in 14 months - PMI","Britain's construction industry unexpectedly gained momentum last month to grow at its fastest rate in over a year, boosted by the biggest increase in housebuilding since the end of 2015, an industry survey showed on Thursday.","2018-08-02"
"413","Reading the runes of the UK economy ahead of Bank of England decision","With the Bank of England looking poised to raise interest rates to a new post-financial crisis high, evidence about the health of Britain's economy appears mixed.","2018-08-01"
"414","UK factories lose steam on eve of Bank of England rate decision","British factories lost momentum in July and manufacturers were their most downbeat in nearly two years, a survey showed on Wednesday, but the data was unlikely to deter the Bank of England from raising interest rates on Thursday.","2018-08-01"
"415","BoE should raise rates, but be ready for U-turn - NIESR","The Bank of England should raise interest rates this week but also tell the public it will be ready to make a U-turn if Brexit talks sour or trade tensions with the United States escalate, a leading economic think tank said on Wednesday.","2018-08-01"
"416","UK shop price deflation weakest since December - BRC","British shop prices fell in July at their slowest pace since the end of 2017 and food inflation picked up speed, according to data on Wednesday that will be little relief for households still feeling the pinch on their spending power.","2018-08-01"
"417","Banks say UK finance exports underscore need for good Brexit deal","Britain's exports of financial services to the European Union hit a record high last year, highlighting the need for the City to preserve access to the bloc after Brexit, industry officials said on Tuesday.","2018-08-01"
"418","UK house prices pick up a little speed in July - Nationwide","British house prices gained a bit of momentum in July after rising at their slowest annual rate in five years in June, mortgage lender Nationwide said on Wednesday.","2018-08-01"
"419","'Low road' of protectionism will cost jobs and growth - Carney","Bank of England Governor Mark Carney said a pursuit of the ""low road"" of protectionism would cost jobs and growth and there were tentative signs that a rise in trade barriers might be weighing on the world economy, Bloomberg said on Monday.","2018-07-31"
"420","Rising UK borrowing sets stage for Bank of England rate hike","Britain's housing market is perking up and consumer confidence has neared a two-year high, according to figures on Monday that probably keep the Bank of England on track to raise interest rates this week.","2018-07-31"
"421","Mood among UK consumers, firms remains fragile - surveys","Confidence among British consumers and businesses remains stuck well below levels before the Brexit vote in 2016, surveys showed on Tuesday, two days before an expected interest rate increase by the Bank of England.","2018-07-31"
"422","Analysis - 'R-star' in the limelight as Bank of England opens up on rates","Britain's central bank is about to shed more light on a concept that may explain why it thinks borrowing costs must rise even as the economy grows only slowly - ""R-star"" (or ""R-dagger""), the 'equilibrium', 'neutral' or 'natural' interest rate.","2018-07-27"
"423","Britons in debt distress at six-year high as BoE ponders rate hike","The number of people in England and Wales filing for insolvency hit a more than six-year high in the second quarter, adding to conflicting economic signals for Bank of England officials as they consider whether to raise interest rates next week.","2018-07-27"
"424","Slump in London house-building weighs on UK housing starts","British builders have cut back sharply on the number of new homes they plan to start in London, taking the shine off industry data which otherwise remained near its strongest since the global financial crisis.","2018-07-26"
"425","Global economy has peaked; trade war torpedoes optimism - Reuters poll","Global economic activity remains solid but has already passed its peak, according to economists in Reuters polls who expect protectionist policies on trade, which show no signs of abating, to tap the brakes significantly.","2018-07-26"
"426","Commentary: If BoE only goes for one or two rate hikes, what's the point?","Barring an economic or Brexit-related shock in the next few days - and given the way 2018 is going, few would bet against surprises of any kind with confidence - the Bank of England will almost certainly raise interest rates on August 2.","2018-07-26"
"427","UK pay deals see strongest run since 2008 - XpertHR","British employers continued to offer annual pay deals averaging 2.5 percent in June, the highest since the 2008 financial crisis, according to industry data that is likely to bolster the Bank of England's view that inflation pressures are building.","2018-07-26"
"428","UK mortgage approvals hit nine-month high in June - UK Finance","British banks approved the most mortgages for house purchases since September 2017 last month and remortgaging saw a boost as households tried to lock in cheap borrowing costs before an expected Bank of England interest rate rise, industry data showed on Wednesday.","2018-07-25"
"429","UK public sector workers get biggest pay rise in years","Around one million public-sector workers in Britain will receive their biggest pay rise in years, the government said on Tuesday, as it tries to regain momentum after a rocky few weeks of Brexit drama.","2018-07-24"
"430","British factory growth rebounds, investment plans weaken before Brexit - CBI","Growth across British factories recovered over the three months to July after a weak start to the year, but manufacturers are increasingly reluctant to invest ahead of Brexit, a business survey showed on Tuesday.","2018-07-24"
"431","UK child poverty rose last year as welfare cuts bite - thinktank","The number of children living in poverty in Britain rose last year as the poorest families saw their incomes hit by welfare cuts, a think tank said, underscoring the challenge for the government as it tries to balance the public finances.","2018-07-24"
"432","UK households' mood boosted by easing inflation squeeze - IHS Markit","British households grew more positive about their finances this month as they faced less of a squeeze from inflation and benefited from higher pay - though most will be in for a shock if the Bank of England raises interest rates next month.","2018-07-23"
"433","Quitting EU could hit UK households by up to 960 pounds a year - report","Quitting the EU could leave British households up to 960 pounds worse off each year, according to a report.","2018-07-23"
"434","Britain records slightly larger than expected budget deficit in June","Britain's government recorded a slightly bigger budget deficit than expected in June, although borrowing over the first three months of the financial year has been the lowest since 2007.","2018-07-20"
"435","Retail sales grow at fastest since 2004 in second quarter, despite June dip","British shoppers stepped up purchases by the most in over a decade in the second quarter despite lower spending in June, official data showed on Thursday, giving the Bank of England some reassurance that a sluggish start to 2018 is over.","2018-07-19"
"436","Tame UK inflation knocks BoE rate hike expectations","British inflation unexpectedly held steady last month, denting market confidence about a Bank of England interest rate hike next month and sending sterling to a 10-month low against the dollar.","2018-07-18"
"437","BoE to play its hand in August; UK-EU to eventually cut a deal - Reuters poll","The Bank of England will nudge up borrowing costs next month, according to economists polled by Reuters this week who have grown a bit more confident Britain will strike a free trade deal with the European Union.","2018-07-18"
"438","UK companies' marketing budgets grow at second slowest rate in two years - survey","British companies spent more on marketing in the second quarter than the previous quarter when budgets hit a near two-year low, but Brexit uncertainty continues to make firms cautious, a survey showed on Wednesday.","2018-07-18"
"439","Carney - no deal Brexit would prompt interest rate review","Bank of England Governor Mark Carney said on Tuesday that a no-deal Brexit would have ""big"" economic consequences, prompt a review of interest rates and leave many bankers idle.","2018-07-17"
"440","UK pay growth slows to six-month low despite record employment","British workers' wages have risen at the slowest rate in six months despite a record number of people in jobs, challenging the Bank of England as it considers raising interest rates next month for only the second time since the financial crisis.","2018-07-17"
"441","UK watchdog paints gloomier long-term picture for public finances","Britain's budget watchdog on Tuesday outlined a gloomier picture for the government's finances in the long term, reflecting recent pledges to increase health spending without tax hikes or spending cuts to pay for it.","2018-07-17"
"442","UK heatwave, World Cup snap consumers out of winter gloom - Visa","British consumers picked up the pace of their spending in June for the second month running, the first back-to-back increases in over a year, a survey showed on Monday, another sign that the economy is past its weak start to 2018.","2018-07-16"
"443","Glut of property hits UK housing market in July - Rightmove","Britain's housing market saw a glut of new property offered for sale this month, keeping a lid on prices at a time when sales typically suffer from a seasonal lull, property website Rightmove said on Monday.","2018-07-16"
"444","Bank of England's Cunliffe sees case for 'stodginess' in setting interest rates","Bank of England Deputy Governor Jon Cunliffe sounded a note of caution about raising interest rates on Friday, saying there was limited evidence that wages were rising as fast as the BoE forecast earlier this year.","2018-07-13"
"445","UK lenders expect consumer lending to pick up in third quarter - BoE","British lenders expect demand for consumer borrowing to pick up in the third quarter, a Bank of England survey showed on Thursday, echoing signs of a broader recovery in the economy after a slow start to 2018.","2018-07-12"
"446","UK housing market remains in the doldrums - RICS","British house prices remained flat in June and the market was likely to stay sluggish in the coming months despite more properties being put up for sale, a surveyors group said on Thursday.","2018-07-12"
"447","UK economy brightens as Bank of England nears rate decision","Britain's economy picked up a bit of speed in May after slowing in early 2018, according to official figures that will give the Bank of England more confidence about raising interest rates next month for only the second time in over a decade.","2018-07-10"
"448","UK economy is picking up pace, NIESR predicts","Britain's economy probably gathered pace in the second quarter of 2018 and will quicken again over the coming months, the National Institute of Economic and Social Research (NIESR), a think tank, said on Tuesday.","2018-07-10"
"449","Beers, burgers and TVs - World Cup spending helps UK retailers","The soccer World Cup prompted shoppers in Britain to spend more on beer, barbecues and big-screen televisions in June but the overall increase in sales slowed in a reminder of how wary many consumers remain, a survey showed on Tuesday.","2018-07-10"
"450","UK businesses perk up a little but caution reigns - BCC","British companies perked up after a weak start to the year but they are still reluctant to invest ahead of Brexit and pessimism is widespread, a major business survey showed on Monday.","2018-07-09"
"451","UK's productivity problem rears its head in early 2018","British productivity contracted at the fastest pace in a year in early 2018, reversing some of the gains made last year and highlighting a long-standing problem in Britain's economy, official data showed on Friday.","2018-07-06"
"452","UK house price growth cools four-month low in June - Halifax","British house price growth cooled in annual terms to a four-month low in June, as expected, mortgage lender Halifax said on Friday.","2018-07-06"
"453","UK firms hire permanent staff at weakest pace in eight months - REC","British employers hired permanent staff last month at the slowest pace since October as a shortage of available workers caused the labour market to slow, a survey of recruitment firms showed on Friday.","2018-07-06"
"454","Bank of England's Carney boosts expectations for August rate hike","Bank of England Governor Mark Carney on Thursday boosted expectations of an interest rate hike next month, saying he had become increasingly confident that the British economy's weak start to the year mostly reflected bad weather.","2018-07-05"
"455","UK retail says no-deal Brexit will see 'food rotting at ports'","The British government and the European Union must avoid a no-deal Brexit ""at all costs"" as this would clog up food supplies, raise prices and throw retailers out of business, the UK retail industry's lobby group said on Thursday.","2018-07-05"
"456","BoE's Carney - household expectations for 2018 rate hike look about right","Bank of England Governor Mark Carney said on Thursday that expectations among British households that the central bank will raise interest rates this year seemed right to him.","2018-07-05"
"457","UK to invest 420 million pounds to lift construction productivity","Britain's government announced what it said was the largest investment in at least a decade to speed up home-building on Thursday, which will see 420 million pounds of public and private money spent on new construction technology.","2018-07-05"
"458","UK economy picks up speed, raising chance of rate rise","Britain's large services industry grew last month at its fastest rate since October, a survey showed on Wednesday, prompting investors to increase bets that the Bank of England will raise interest rates next month.","2018-07-04"
"459","UK shop prices fall less sharply in June after May slide - BRC","British shop prices fell less sharply in June than in May but shoppers could take some comfort from that food price inflation did not accelerate, a survey showed on Wednesday.","2018-07-04"
"460","Scant training for UK workers underscores productivity test - survey","More than a quarter of workers in Britain have not had any training in their jobs in the past year, according to a survey that underscored the productivity challenge facing the country.","2018-07-03"
"461","UK construction recovery extends into third month - PMI","Britain's construction industry put an early 2018 winter slump further behind it in June when the sector enjoyed its fastest growth in seven months, but companies remained worried about the outlook ahead of Brexit, a survey showed on Tuesday.","2018-07-03"
"462","UK manufacturing growth steadies in June but mood dips - PMI","British factories kept up a steady pace of growth in June but worries about global trade and Brexit knocked confidence about the outlook to a seven-month low, a survey showed on Monday.","2018-07-02"
"463","Three quarters of big UK firms downbeat on Brexit - Deloitte survey","A record 75 percent of major British companies are now pessimistic about Brexit, a survey showed on Monday, adding to signs of anxiety around the economy as Britain's divorce with the European Union draws near.","2018-07-02"
"464","UK economy thaws in April, August rate rise in view","Britain looks closer to shrugging off a weak start to 2018 that has kept Bank of England interest rates on hold, after official figures showed the services sector gathered steam in April and first-quarter economic growth was faster than thought.","2018-06-30"
"465","UK housing market perks up in May but consumers subdued - BoE","Britain's housing market perked up in May but there were more signs of caution among consumers ahead of Brexit next year, Bank of England figures showed on Friday.","2018-06-29"
"466","Mood darkens for UK consumers, businesses ahead of Brexit - surveys","British consumers and businesses became more pessimistic about the economy's prospects in June, according to surveys on Friday that suggested Brexit worries and global trade spats may be taking their toll.","2018-06-29"
"467","BoE's Haldane says his rate hike vote shouldn't be a surprise","Bank of England Chief Economist Andy Haldane said on Thursday his unexpected vote to raise interest rates this month should  not be considered ""surprising or radical"" after a decade of ultra-loose monetary policy.","2018-06-28"
